24882 num_stratum
1 num_targets
LAI
basin_ID hill_ID zone_ID patch_ID stratum_ID LAI
1 26 39484 39484 39484 2.300000
1 26 39485 39485 39485 3.700000
1 26 39486 39486 39486 3.700000
1 26 39487 39487 39487 3.700000
1 26 39488 39488 39488 3.700000
1 26 39489 39489 39489 3.700000
1 26 39490 39490 39490 3.700000
1 26 39491 39491 39491 3.700000
1 26 39492 39492 39492 3.700000
1 26 39493 39493 39493 3.700000
1 26 39494 39494 39494 3.700000
1 26 39801 39801 39801 2.300000
1 26 39802 39802 39802 2.300000
1 26 39803 39803 39803 2.300000
1 26 39804 39804 39804 2.300000
1 26 39805 39805 39805 2.300000
1 26 39806 39806 39806 2.300000
1 26 39807 39807 39807 2.300000
1 26 39808 39808 39808 2.300000
1 26 39809 39809 39809 3.700000
1 26 39810 39810 39810 3.700000
1 26 39811 39811 39811 3.700000
1 26 39812 39812 39812 3.700000
1 26 39813 39813 39813 3.700000
1 26 39814 39814 39814 3.700000
1 26 39815 39815 39815 3.700000
1 26 40113 40113 40113 2.300000
1 26 40114 40114 40114 2.300000
1 26 40115 40115 40115 2.300000
1 26 40116 40116 40116 2.300000
1 26 40117 40117 40117 2.300000
1 26 40118 40118 40118 2.300000
1 26 40119 40119 40119 2.300000
1 26 40120 40120 40120 2.300000
1 26 40121 40121 40121 2.300000
1 26 40122 40122 40122 3.700000
1 26 40123 40123 40123 3.700000
1 26 40124 40124 40124 3.700000
1 26 40125 40125 40125 3.700000
1 26 40126 40126 40126 3.700000
1 26 40127 40127 40127 3.700000
1 26 40425 40425 40425 2.300000
1 26 40426 40426 40426 2.300000
1 26 40427 40427 40427 2.300000
1 26 40428 40428 40428 2.300000
1 26 40429 40429 40429 2.300000
1 26 40430 40430 40430 2.300000
1 26 40431 40431 40431 2.300000
1 26 40432 40432 40432 2.300000
1 26 40433 40433 40433 2.300000
1 26 40434 40434 40434 2.300000
1 26 40435 40435 40435 2.300000
1 26 40436 40436 40436 2.300000
1 26 40437 40437 40437 2.300000
1 26 40438 40438 40438 2.300000
1 26 40439 40439 40439 3.700000
1 26 40440 40440 40440 3.700000
1 26 40441 40441 40441 3.700000
1 26 40442 40442 40442 3.700000
1 26 40443 40443 40443 3.700000
1 26 40750 40750 40750 2.300000
1 26 40751 40751 40751 2.300000
1 26 40752 40752 40752 2.300000
1 26 40753 40753 40753 2.300000
1 26 40754 40754 40754 2.300000
1 26 40755 40755 40755 2.300000
1 26 40756 40756 40756 2.300000
1 26 40757 40757 40757 2.300000
1 26 40758 40758 40758 2.300000
1 26 40759 40759 40759 2.300000
1 26 40760 40760 40760 2.300000
1 26 40761 40761 40761 2.300000
1 26 40762 40762 40762 3.700000
1 26 40763 40763 40763 3.700000
1 26 40764 40764 40764 3.700000
1 26 40765 40765 40765 3.700000
1 26 40766 40766 40766 3.700000
1 26 41050 41050 41050 2.300000
1 26 41051 41051 41051 2.300000
1 26 41052 41052 41052 2.300000
1 26 41053 41053 41053 2.300000
1 26 41054 41054 41054 2.300000
1 26 41055 41055 41055 2.300000
1 26 41056 41056 41056 2.300000
1 26 41057 41057 41057 2.300000
1 26 41058 41058 41058 2.300000
1 26 41059 41059 41059 2.300000
1 26 41060 41060 41060 2.300000
1 26 41061 41061 41061 2.300000
1 26 41062 41062 41062 2.300000
1 26 41063 41063 41063 3.700000
1 26 41064 41064 41064 3.700000
1 26 41065 41065 41065 3.700000
1 26 41066 41066 41066 3.700000
1 26 41362 41362 41362 2.400000
1 26 41363 41363 41363 2.300000
1 26 41364 41364 41364 2.300000
1 26 41365 41365 41365 2.300000
1 26 41366 41366 41366 2.300000
1 26 41367 41367 41367 2.300000
1 26 41368 41368 41368 2.300000
1 26 41369 41369 41369 2.300000
